n, Heap Sort, Insertion Sort, Selection Sort, Merge Sort, Quick Sort
3500.0, 391.57000000000005, 4706.914000000001, 16520.301999999996, 308.49199999999996, 188.98799999999994, 
3600.0, 402.108, 5073.405999999999, 17499.388, 317.39400000000006, 192.33200000000005, 
3700.0, 414.894, 5565.717999999999, 18509.166, 331.74200000000013, 205.05199999999994, 
3800.0, 446.07400000000007, 5926.315999999999, 19623.434, 339.7820000000001, 212.86199999999994, 
3900.0, 434.04, 5867.144000000001, 20393.648, 348.13, 215.99999999999997, 
4000.0, 462.34200000000004, 6193.800000000001, 21628.772, 384.17, 225.41400000000002, 
4100.0, 462.2479999999999, 6558.878000000001, 22632.202, 365.05999999999995, 218.774, 
4200.0, 492.50400000000013, 7427.958, 23763.342000000008, 379.39400000000006, 234.18599999999998, 
4300.0, 502.5519999999999, 7746.351999999998, 25014.24999999999, 388.57800000000003, 242.47199999999998, 
4400.0, 506.5319999999998, 7832.536000000001, 26249.806, 399.95399999999995, 265.11800000000005, 
4500.0, 553.7740000000001, 8455.258, 27603.96000000001, 423.17200000000025, 280.67199999999997, 
4600.0, 537.03, 8123.514, 28671.05999999999, 427.1539999999999, 272.98999999999995, 
4700.0, 550.618, 8499.410000000002, 29642.894, 427.332, 292.476, 
4800.0, 570.192, 9599.476, 31052.06, 461.70799999999997, 287.55999999999995, 
4900.0, 581.9979999999999, 9912.824000000002, 32351.17400000001, 447.2660000000001, 295.09, 
5000.0, 576.558, 9351.613999999998, 33618.695999999996, 469.982, 310.89, 
5100.0, 629.0200000000001, 10819.078000000001, 35002.17600000001, 462.9240000000001, 292.4359999999999, 
5200.0, 602.4579999999999, 10857.376, 36382.274, 517.302, 319.95400000000006, 
5300.0, 623.1419999999997, 11149.431999999999, 37824.787999999986, 493.448, 332.13999999999993, 
5400.0, 633.3759999999999, 11793.069999999998, 39189.174000000006, 505.2219999999999, 337.4099999999999, 
5500.0, 754.8500000000001, 12599.797999999995, 40624.106, 550.8039999999997, 329.36800000000005, 
5600.0, 663.8720000000001, 12668.024, 42235.99399999999, 531.1980000000001, 350.848, 
5700.0, 719.3379999999999, 13571.962, 43690.94199999998, 534.5739999999998, 350.57599999999996, 
5800.0, 721.6680000000001, 14026.489999999998, 45280.346000000005, 582.6419999999999, 368.754, 
5900.0, 705.9479999999999, 14200.261999999999, 46824.804, 559.894, 376.402, 
6000.0, 724.5340000000001, 15069.918, 48484.71599999999, 585.476, 383.11, 
6100.0, 749.262, 15456.592000000004, 50138.76400000001, 603.714, 387.028, 
6200.0, 747.9279999999999, 15878.821999999996, 51688.50000000002, 581.8339999999998, 402.082, 
6300.0, 772.4760000000001, 16819.232, 53459.15, 602.004, 409.57, 
6400.0, 792.372, 16756.234, 54895.856, 632.8279999999999, 404.71799999999996, 
6500.0, 861.924, 17430.692000000003, 56835.45, 615.1700000000001, 406.91, 
6600.0, 799.95, 17499.466, 58691.68600000001, 660.52, 411.6780000000001, 
6700.0, 818.8400000000001, 18010.798, 59972.724, 643.1539999999999, 466.4760000000001, 
6800.0, 840.314, 19280.795999999995, 62113.849999999984, 650.7560000000001, 449.40600000000006, 
6900.0, 853.5499999999998, 19698.516000000003, 63695.95400000001, 686.6959999999999, 434.72399999999993, 
7000.0, 865.5180000000004, 20231.986, 65786.194, 690.632, 469.66600000000005, 
7100.0, 889.4879999999998, 20952.716, 68248.69999999998, 711.3539999999999, 480.25199999999995, 
7200.0, 922.5659999999999, 21608.663999999993, 70107.60399999999, 689.9659999999997, 471.074, 
7300.0, 901.9100000000002, 21555.52, 71687.962, 712.6020000000001, 488.656, 
7400.0, 1022.7319999999999, 22392.260000000006, 73591.53399999997, 745.2719999999999, 495.444, 
7500.0, 952.6859999999996, 22966.063999999995, 75597.40199999999, 732.288, 510.81600000000003, 
7600.0, 964.6560000000001, 24515.32999999999, 77575.536, 769.1959999999999, 510.164, 
7700.0, 1006.0720000000005, 24438.683999999997, 79458.656, 732.66, 497.86999999999995, 
